Date,Twitter Publication Count (L1),(R1) Open,(R1) High,(R1) Low,(R1) Close,Twitter Positive Sentiment Count,Twitter Negative Sentiment Count
6/25/25,,,,,,,
6/24/25,1310,145.56,147.96,145.5,147.9,73,-46
6/23/25,612,142.5,144.78,142.03,144.17,40,-9
6/20/25,717,145.45,146.2,142.65,143.85,61,-15
6/19/25,1383,,,,,72,-11
6/18/25,1363,144.005,145.65,143.12,145.48,81,-11
6/17/25,1613,144.49,145.22,143.78,144.12,145,-23
6/16/25,644,143.345,146.175,143.2001,144.69,49,-9
6/13/25,2164,142.48,143.58,140.855,141.97,95,-37
6/12/25,2283,141.97,145,141.85,145,96,-27
6/11/25,2048,144.61,144.99,141.87,142.83,109,-16
6/10/25,1792,142.69,144.29,141.525,143.96,112,-20
6/9/25,789,143.19,145,141.94,142.63,49,-13
6/6/25,1935,142.51,143.27,141.51,141.72,111,-36
6/5/25,1766,142.17,144,138.83,139.99,146,-22
6/4/25,2308,142.19,142.39,139.545,141.92,330,-26
6/3/25,1851,138.78,142,137.95,141.22,136,-33
6/2/25,933,135.49,138.12,135.4,137.38,89,-24
5/30/25,5518,138.715,139.62,132.92,135.13,702,-140
5/29/25,15086,142.245,143.49,137.91,139.19,1683,-431
5/28/25,3824,136.025,137.25,134.79,134.81,368,-103
5/27/25,1433,134.15,135.66,133.31,135.5,98,-44
5/26/25,1048,,,,,78,-31
5/23/25,2365,130,132.68,129.16,131.29,123,-35
5/22/25,3231,132.23,134.25,131.55,132.83,139,-69
5/21/25,2389,133.06,137.4,130.59,131.8,108,-91
5/20/25,2613,134.29,134.58,132.62,134.38,73,-47
5/19/25,2026,132.39,135.87,132.39,135.57,45,-21
5/16/25,2722,136.22,136.35,133.46,135.4,122,-58
5/15/25,2965,134.295,136.3,132.66,134.83,283,-33
5/14/25,4724,133.195,135.435,131.68,135.34,366,-34
5/13/25,2024,124.98,131.2189,124.47,129.93,141,-13
5/12/25,1253,121.97,123,120.28,123,56,-10
5/9/25,2085,117.35,118.23,115.21,116.65,96,-33
5/8/25,3313,118.25,118.68,115.85,117.37,156,-34
5/7/25,2094,113.045,117.68,112.2818,117.06,63,-77
5/6/25,1394,111.48,114.74,110.822,113.54,44,-50
5/5/25,605,112.905,114.665,112.66,113.82,24,-15
5/2/25,2750,114.18,115.4,113.37,114.5,129,-39
5/1/25,3451,113.08,114.94,111.3,111.61,114,-78
4/30/25,2275,104.47,108.92,104.08,108.92,62,-69
4/29/25,2325,107.67,110.1999,107.44,109.02,36,-101
4/28/25,1371,109.69,110.3699,106.02,108.73,42,-56
4/25/25,2742,106.85,111.92,105.73,111.01,75,-38
4/24/25,2435,103.475,106.54,103.11,106.43,91,-38
4/23/25,3261,104.52,104.8,102.02,102.71,92,-56
4/22/25,3830,98.78,99.811,97.28,98.89,68,-228
4/21/25,1360,98.77,99.44,95.04,96.91,32,-105
4/18/25,4582,,,,,60,-206
4/17/25,7084,104.45,104.47,100.05,101.49,123,-869
4/16/25,8303,104.55,106.79,100.45,104.49,121,-926
4/15/25,4135,110.97,113.615,110.5,112.2,122,-32
4/14/25,2033,114.11,114.29,109.07,110.71,81,-16
4/11/25,3251,108.5,111.5499,107.48,110.93,76,-70
