Date,Twitter Publication Count (L1),(R1) Open,(R1) High,(R1) Low,(R1) Close,Twitter Positive Sentiment Count,Twitter Negative Sentiment Count
6/25/25,,,,,,,
6/24/25,402,488.95,491.849,486.795,490.11,45,-7
6/23/25,150,478.21,487.75,472.51,486,3,-10
6/20/25,568,482.23,483.46,476.87,477.4,16,-37
6/19/25,765,,,,,27,-132
6/18/25,543,478,481,474.46,480.24,15,-22
6/17/25,584,475.395,478.7399,474.08,478.04,38,-58
6/16/25,173,475.21,480.6943,475,479.14,7,-5
6/13/25,516,476.41,479.18,472.76,474.96,73,-12
6/12/25,470,475.02,480.415,473.52,478.87,45,-9
6/11/25,568,470.02,475.47,469.655,472.62,38,-13
6/10/25,506,471.185,472.8,466.96,470.92,42,-10
6/9/25,572,469.7,473.43,468.62,472.75,15,-5
6/6/25,515,470.085,473.335,468.78,470.38,75,-19
6/5/25,484,464.955,469.65,464.03,467.68,40,-25
6/4/25,570,464,465.69,463.0201,463.87,85,-49
6/3/25,627,461.47,464.14,460.8622,462.97,15,-100
6/2/25,288,457.14,462.11,456.89,461.97,10,-24
5/30/25,483,459.715,461.68,455.54,460.36,77,-30
5/29/25,426,461.55,461.72,455.3105,458.68,34,-16
5/28/25,395,461.22,462.52,456.93,457.36,24,-16
5/27/25,298,456.48,460.95,456.115,460.69,13,-14
5/26/25,221,,,,,8,-13
5/23/25,689,449.98,453.69,448.91,450.18,31,-42
5/22/25,696,454.95,460.25,453.9,454.86,25,-58
5/21/25,710,454.57,457.78,451.814,452.57,32,-36
5/20/25,1035,455.59,458.34,454.3201,458.17,45,-26
5/19/25,322,450.875,459.585,450.8,458.87,17,-26
5/16/25,618,452.05,454.36,448.73,454.27,46,-37
5/15/25,721,450.765,456.19,450.4301,453.13,54,-115
5/14/25,1118,448.14,453.9,448.14,452.94,30,-461
5/13/25,445,447.78,450.6733,445.36,449.14,43,-7
5/12/25,410,445.94,449.37,439.78,449.26,25,-6
5/9/25,584,440,440.74,435.88,438.73,37,-14
5/8/25,593,437.93,443.67,435.66,438.17,41,-46
5/7/25,629,433.84,438.12,431.1103,433.35,31,-40
5/6/25,618,432.2,437.73,431.17,433.31,43,-19
5/5/25,303,432.87,439.5,432.11,436.17,31,-3
5/2/25,2045,431.74,439.44,429.985,435.28,550,-32
5/1/25,2579,431.11,436.99,424.9,425.4,699,-55
4/30/25,604,390.3,396.66,384.44,395.26,33,-16
4/29/25,485,391.3,395.1,390.38,394.04,17,-9
4/28/25,312,391.955,392.74,386.638,391.16,15,-4
4/25/25,379,387,392.16,384.6,391.85,25,-15
4/24/25,377,375.695,388.45,375.19,387.3,20,-10
4/23/25,357,376.06,380.39,373.02,374.39,13,-8
4/22/25,312,363.375,367.77,359.8602,366.82,9,-21
4/21/25,186,362.815,364.48,355.67,359.12,7,-11
4/18/25,324,,,,,9,-16
4/17/25,460,373.745,374.3215,366.89,367.78,7,-17
4/16/25,376,380.67,381.61,368,371.61,11,-17
4/15/25,337,388.505,391.89,384.1599,385.73,12,-13
4/14/25,185,393.22,394.65,384.21,387.81,12,-10
4/11/25,464,380.635,390.05,378.89,388.45,10,-41
4/10/25,619,382.06,383.9,367.8,381.35,50,-28
4/9/25,790,353.535,393.225,353.1,390.49,58,-63
4/8/25,657,368.255,373.65,350.25,354.56,20,-55
4/7/25,348,350.88,370.9999,344.79,357.86,4,-25
4/4/25,703,364.125,374.59,359.48,359.84,16,-42
4/3/25,498,374.785,377.48,369.35,373.11,15,-14
4/2/25,468,377.965,385.08,376.62,382.14,31,-14
4/1/25,527,374.65,382.85,373.23,382.19,28,-56
3/31/25,273,372.535,377.07,367.24,375.39,12,-16
3/28/25,422,388.08,389.13,376.93,378.8,10,-15
3/27/25,676,390.13,392.24,387.395,390.58,20,-31
3/26/25,362,395,395.31,388.57,389.97,12,-8
3/25/25,379,393.915,396.36,392.64,395.16,11,-12
3/24/25,225,395.4,395.4,389.81,393.08,14,-6
3/21/25,512,383.215,391.74,382.8,391.26,18,-16
3/20/25,525,385.735,391.785,383.28,386.84,22,-11
3/19/25,626,385.525,389.68,384,387.82,11,-19
3/18/25,426,387.07,387.37,381.1,383.52,8,-11
3/17/25,216,386.7,392.705,385.57,388.7,9,-9
3/14/25,492,379.775,390.23,379.51,388.56,32,-18
3/13/25,594,383.155,385.32,377.45,378.77,30,-55
3/12/25,556,382.95,385.2165,378.9507,383.27,20,-21
3/11/25,437,379,386,376.91,380.45,9,-28
3/10/25,321,385.84,386.4,377.22,380.16,8,-8
3/7/25,621,392.32,394.8,385.54,393.31,16,-35
3/6/25,560,394.28,402.15,392.6777,396.89,30,-22
3/5/25,510,389.34,401.67,388.81,401.02,25,-23
3/4/25,524,383.4,392.58,381,388.61,23,-34
3/3/25,268,398.82,398.82,386.155,388.49,11,-24
2/28/25,695,392.655,397.63,386.57,396.99,16,-27
2/27/25,637,401.265,405.74,392.17,392.53,31,-18
2/26/25,661,398.01,403.6,394.245,399.73,20,-31
2/25/25,1026,401.1,401.915,396.7,397.9,24,-61
2/24/25,560,408.51,409.37,399.32,404,17,-10
2/21/25,885,417.335,418.048,407.89,408.21,49,-13
2/20/25,1423,415.29,419.31,412.54,416.13,46,-11
2/19/25,403,407.88,415.49,407.65,414.77,18,-8
2/18/25,286,408,410.597,406.5,409.64,17,-7
2/17/25,243,,,,,6,-5
2/14/25,442,407.79,408.91,405.88,408.43,13,-11
2/13/25,454,407,411,406.36,410.54,13,-13
2/12/25,491,407.21,410.75,404.3673,409.04,23,-19
2/11/25,449,409.64,412.49,409.3,411.44,23,-37
2/10/25,251,413.71,415.4624,410.92,412.22,11,-10
2/7/25,665,416.48,418.65,408.1,409.75,39,-13
2/6/25,561,414,418.2,414,415.82,17,-17
2/5/25,629,412.35,413.827,410.4,413.29,26,-29
2/4/25,507,412.685,413.9199,409.74,412.37,16,-24
2/3/25,314,411.6,415.41,408.66,410.92,16,-19
1/31/25,1468,418.98,420.69,414.91,415.06,120,-161
1/30/25,3011,418.77,422.86,413.16,414.99,338,-268
1/29/25,1500,446.69,446.88,440.4,442.33,71,-44
1/28/25,1657,434.6,448.38,431.38,447.2,59,-104
1/27/25,654,424.01,435.2,423.5,434.56,16,-55
1/24/25,722,445.16,446.65,441.4,444.06,18,-19
1/23/25,927,442,446.75,441.5048,446.71,65,-40
1/22/25,741,437.56,447.27,436,446.2,33,-22
1/21/25,243,430.2,430.8999,425.595,428.5,7,-3
1/20/25,177,,,,,7,0
1/17/25,531,434.085,434.48,428.17,429.03,21,-30
1/16/25,671,428.695,429.49,424.39,424.58,21,-29
1/15/25,649,419.13,428.15,418.265,426.31,14,-37
1/14/25,447,417.81,419.74,410.72,415.67,14,-43
1/13/25,168,415.235,418.5,412.29,417.19,3,-10
1/10/25,482,424.63,424.71,415.02,418.95,19,-27
1/9/25,505,,,,,13,-46
1/8/25,633,423.46,426.97,421.54,424.56,23,-32
1/7/25,736,429,430.65,420.8,422.37,48,-8
1/6/25,282,428,434.32,425.4774,427.85,12,-5
1/3/25,330,421.08,424.03,419.54,423.35,15,-16
1/2/25,158,425.53,426.07,414.85,418.58,2,-3
1/1/25,232,,,,,14,-4
12/31/24,281,426.1,426.73,420.66,421.5,13,-12
12/30/24,167,426.06,427.55,421.9,424.83,8,-5
12/27/24,354,434.6,435.22,426.35,430.53,17,-14
12/26/24,191,439.08,440.94,436.63,438.11,12,-8
12/25/24,175,,,,,6,-4
12/24/24,375,434.65,439.6,434.19,439.33,21,-8
12/23/24,187,436.74,437.65,432.83,435.25,12,-6
12/20/24,299,433.11,443.74,428.63,436.6,16,-5
12/19/24,521,441.62,443.1834,436.32,437.03,21,-17
12/18/24,465,451.32,452.65,437.02,437.39,31,-11
12/17/24,343,451.01,455.29,449.57,454.46,18,-7
12/16/24,197,447.27,452.18,445.28,451.59,7,-4
12/13/24,654,448.435,451.43,445.58,447.27,34,-25
12/12/24,843,449.11,456.1648,449.11,449.56,33,-36
12/11/24,1538,444.05,450.35,444.05,448.99,51,-78
12/10/24,718,444.39,449.62,441.6,443.33,56,-21
12/9/24,416,442.6,448.33,440.5,446.02,21,-4
12/6/24,600,442.3,446.1,441.7703,443.57,41,-19
12/5/24,642,437.92,444.66,436.171,442.62,38,-34
12/4/24,623,433.03,439.67,432.63,437.42,26,-68
12/3/24,578,429.84,432.47,427.74,431.2,43,-57
12/2/24,502,421.57,433,421.31,430.98,16,-11
11/29/24,314,420.09,424.8849,417.8,423.46,9,-51
11/28/24,712,,,,,29,-152
11/27/24,491,425.105,427.2299,422.02,422.99,38,-21
11/26/24,845,419.585,429.0414,418.85,427.99,15,-173
11/25/24,339,418.38,421.08,414.85,418.79,10,-18
11/22/24,496,411.365,417.4,411.06,417,17,-25
11/21/24,713,419.5,419.78,410.2887,412.87,27,-21
11/20/24,1187,416.87,417.29,410.58,415.49,39,-13
11/19/24,387,413.11,417.94,411.55,417.79,13,-24
11/18/24,265,414.87,418.4037,412.1,415.76,15,-10
11/15/24,597,419.82,422.8,413.64,415,28,-46
11/14/24,598,425,428.17,420,426.89,39,-32
11/13/24,458,421.64,429.325,418.21,425.2,23,-22
11/12/24,453,418.25,424.44,417.2,423.03,24,-10
11/11/24,205,422.515,424.81,416,418.01,25,-4
11/8/24,344,425.32,426.5,421.78,422.54,33,-4
11/7/24,370,421.28,426.85,419.88,425.43,41,-7
11/6/24,378,412.42,420.45,410.52,420.18,22,-15
11/5/24,444,408.37,414.9,408.08,411.46,32,-12
11/4/24,280,409.8,410.415,405.5713,408.46,18,-22
11/1/24,1641,409.01,415.5,407.5,410.37,161,-212
10/31/24,2450,415.36,416.16,406.3,406.35,532,-141
10/30/24,688,437.435,438.5,432.1,432.53,71,-20
10/29/24,666,428,433.17,425.8001,431.95,40,-15
10/28/24,469,431.655,431.94,426.3,426.59,32,-15
10/25/24,910,426.76,432.52,426.565,428.15,60,-38
10/24/24,712,425.325,425.9782,422.4,424.73,42,-26
10/23/24,908,430.855,431.08,422.53,424.6,82,-23
10/22/24,645,418.49,430.5793,418.04,427.51,31,-23
10/21/24,336,416.12,418.96,413.7501,418.78,15,-9
10/18/24,574,417.14,419.65,416.2601,418.16,29,-20
10/17/24,617,422.36,422.5,415.59,416.72,21,-38
10/16/24,509,415.17,416.36,410.48,416.12,24,-36
10/15/24,642,422.18,422.48,415.26,418.74,45,-23
10/14/24,240,417.77,424.04,417.52,419.14,17,-5
10/11/24,479,416.135,417.13,413.25,416.32,21,-22
10/10/24,540,415.225,417.35,413.15,415.84,32,-21
10/9/24,765,415.86,420.38,414.3,417.46,59,-53
